category,product_name,sales,date
retail/trade,department store,11231,2015-02-01
retail/trade,department store,13178,2015-03-01
retail/trade,department store,12349,2015-04-01
retail/trade,department store,13692,2015-05-01
retail/trade,department store,12561,2015-06-01
retail/trade,department store,12555,2015-07-01
retail/trade,department store,13653,2015-08-01
retail/trade,department store,12023,2015-09-01
retail/trade,department store,12936,2015-10-01
retail/trade,department store,16301,2015-11-01
retail/trade,department store,23425,2015-12-01
retail/trade,department store,10221,2016-01-01
retail/trade,department store,11208,2016-02-01
retail/trade,department store,12648,2016-03-01
retail/trade,department store,11925,2016-04-01
retail/trade,department store,12536,2016-05-01
retail/trade,department store,12308,2016-06-01
retail/trade,department store,11836,2016-07-01
retail/trade,department store,12628,2016-08-01
retail/trade,department store,11355,2016-09-01
retail/trade,department store,11945,2016-10-01
